'diameters in um for each GR'

axon	daughter1	daughter2	GR
1	0.629960525	0.629960525	1
1	0.731004435	0.731004435	1.25
1	0.825481812	0.825481812	1.5
1	0.861773876	0.861773876	1.6
1	0.897317113	0.897317113	1.7
1	0.914826428	0.914826428	1.75
1	0.932169752	0.932169752	1.8
1	0.96638253	0.96638253	1.9
1	1	1	2
0.8	0.826449243	0.826449243	2.1
0.8	0.852481789	0.852481789	2.2
0.8	0.87812272	0.87812272	2.3
0.8	0.903394588	0.903394588	2.4
0.5	0.580198604	0.580198604	2.5
0.5	0.655185349	0.655185349	3
